message_id,text,timestamp,time_in_seconds,author_name,author_id
df57c29e-1f92-4fa9-b4d8-9a94ab8db4e4,LuvPeekR,1745945676494000,36,undyingnito,89880113
ee513422-5ff5-4814-ab25-bf92ebce1453,"INCOMING: Ad starting in 4 minutes. Please stretch, walk around or get some snacks durnig the ad later :)",1745945695290000,55,matilde_h7,511849171
5e2bdbbe-f136-45f4-82c7-6e332d34b52a,hello Nito!,1745945745235000,105,matilde_h7,511849171
423eddc7-6455-45b1-b03e-b8032bb2998f,matild30Rock matild30Rock,1745945787115000,147,ovrdriveph,198761290
57749844-00bb-4fd2-bc05-cf0070aa5e1c,HypeWave,1745945799523000,159,undyingnito,89880113
0cd0bd77-1def-4c5f-a454-4d799eb70624,ButtonMash ButtonMash ButtonMash,1745945876912000,237,ovrdriveph,198761290
63767ba1-2000-4a34-a852-54c6d93f1983,should I play it with a controller,1745945888249000,248,matilde_h7,511849171
c2f8d9bc-4ace-4c52-8fba-15fd9bce3486,I think yeah,1745945917027000,277,ovrdriveph,198761290
2a66d85e-268f-4341-b8d1-7dc14d2be869,ay,1745945929025000,289,matilde_h7,511849171
0e82ba2f-191b-486f-9f94-e1c0a8324fa0,that means I have to open it in steam,1745945943294000,303,matilde_h7,511849171
7a696b48-4ff6-477e-bff8-f232c4e2d2ea,Why?,1745945958805000,319,ovrdriveph,198761290
f084c889-bdd6-465c-9421-45ec176204b0,A 180 second ad just started. We'll be back soon. Get some water or stretch your legs :D,1745945977957000,338,matilde_h7,511849171
e6c7664a-8adc-493e-b5e3-2c7968c6a470,I don't think my ps4 controller works for xbox app :)),1745945984110000,344,matilde_h7,511849171
99c2e142-589d-4a16-8de6-fa7c1d7c3c4b,Ah ps4 controller,1745945992660000,352,ovrdriveph,198761290
adb06cbc-168e-41db-824a-9e8dc8f8f469,I dunno. I'd think it would still work xD,1745946035325000,395,ovrdriveph,198761290
2e8dce6e-2a80-4fe1-b277-49eb246cd702,I remember it not working for a game :)),1745946048494000,408,matilde_h7,511849171
4a20aa96-0f3c-435f-831b-9cbe53964fa8,hello Kipling!,1745946087874000,448,matilde_h7,511849171
cff4c1c2-fb7b-45aa-9b17-167932579045,Hi,1745946091422000,451,mrkiplingt,1052292610
85624756-ad00-4746-b603-411eeb774ac7,Cheer1,1745946100881000,461,mrkiplingt,1052292610
